trade_date,open,high,low,close,volume,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d,amount
20220217,0.905,0.912,0.895,0.897,85220.0,85220.0,0.9461,0.9727,0.967295,80463.6,110986.9,0.0215,0.0249999999999999,-0.0227764296505583,-0.018506793752975,-0.0085392717951666,10.057471264367829,43.10344827586209,32.395008501212025,-5.8761804826862445,
20220218,0.906,0.925,0.906,0.925,180431.0,180431.0,0.94465,0.9716333333333332,0.96728,96020.8,117036.9,0.0209,0.0255499999999999,-0.0205031825293254,-0.0189060715082451,-0.0031942220421606,12.813370473537615,41.78272980501394,35.253418946135334,-3.039832285115296,
20220221,0.942,0.969,0.941,0.956,451547.0,451547.0,0.94215,0.971,0.967415,171147.6,129450.25,0.0216,0.0249999999999999,-0.0160155594852903,-0.0183279691036541,0.0046248192367277,24.86187845303867,31.491712707182323,35.47104445787849,-4.97017892644136,
20220222,0.957,0.957,0.934,0.938,275392.0,275392.0,0.93835,0.97,0.96749,214957.4,131706.3,0.0212999999999999,0.0245999999999999,-0.0137529994424103,-0.0174129751714054,0.0073199514579901,25.280898876404496,29.49438202247189,35.56936718778016,-7.495069033530576,
20220223,0.938,0.952,0.936,0.949,237668.0,237668.0,0.9350000000000002,0.9692666666666666,0.96768,246051.6,139628.9,0.0209999999999999,0.0246999999999999,-0.0109461162242862,-0.0161196033819815,0.0103469743153907,27.60736196319019,23.00613496932515,35.15925098819027,-6.594488188976388,
20220224,0.939,0.95,0.901,0.911,301435.0,301435.0,0.93025,0.9680166666666666,0.967665,289294.6,151631.15,0.0245999999999999,0.0262999999999999,-0.0116535881619462,-0.0152264003379745,0.0071456243520564,26.39296187683285,29.912023460410563,34.85191071539774,-9.44333996023856,
20220225,0.922,0.93,0.915,0.915,182700.0,182700.0,0.9259,0.9668666666666668,0.967665,289748.4,156207.55,0.0241999999999999,0.0263499999999999,-0.0117559825500053,-0.0145323167803806,0.0055526684607507,27.863777089783287,27.863777089783287,33.73478139921629,-8.682634730538918,
20220228,0.911,0.923,0.906,0.919,206211.0,206211.0,0.9216,0.9659,0.9677,240681.2,158041.75,0.0240999999999999,0.0263499999999999,-0.011383146443214,-0.0139024827129473,0.0050386725394666,28.662420382165617,27.388535031847137,32.43028232686007,-8.55721393034824,
20220301,0.92,0.927,0.917,0.924,214754.99,214754.99,0.91955,0.9651166666666668,0.96783,228553.798,161195.49949999998,0.0240999999999999,0.0247999999999999,-0.0105624555168878,-0.0132344772737354,0.0053440435136952,25.245901639344265,28.196721311475414,31.54582105983391,-4.248704663212433,
20220302,0.924,0.924,0.912,0.918,199049.0,199049.0,0.91735,0.9639,0.96797,220829.998,164757.6995,0.0234999999999999,0.0239499999999999,-0.0102777266655851,-0.0126431271521053,0.0047308009730405,25.32894736842105,29.934210526315795,31.047108061120905,-4.573804573804563,
