trade_date,open,high,low,close,volume
20230519,446.72,446.72,446.72,446.72,0
20230522,448.43,448.43,448.43,448.43,0
20230523,446.0,446.0,446.0,446.0,0
20230524,448.87,448.87,448.87,448.87,0
20230525,447.64,447.64,447.64,447.64,0
20230526,445.28,445.28,445.28,445.28,0
20230529,444.56,444.56,444.56,444.56,0
20230530,443.77,443.77,443.77,443.77,0
20230531,449.62,449.62,449.62,449.62,0
20230601,449.23,449.23,449.23,449.23,0
20230602,451.11,451.11,451.11,451.11,0
20230605,446.31,446.31,446.31,446.31,0
20230606,449.02,449.02,449.02,449.02,0
20230607,449.29,449.29,449.29,449.29,0
20230608,447.59,447.59,447.59,447.59,0
20230609,450.88,450.88,450.88,450.88,0
20230612,451.45,451.45,451.45,451.45,0
20230613,453.21,453.21,453.21,453.21,0
20230614,450.2,450.2,450.2,450.2,0
20230615,446.32,446.32,446.32,446.32,0
20230616,450.07,450.07,450.07,450.07,0
20230619,450.33,450.33,450.33,450.33,0
20230620,451.13,451.13,451.13,451.13,0
20230621,449.97,449.97,449.97,449.97,0
20230626,449.3,449.3,449.3,449.3,0
20230627,449.25,449.25,449.25,449.25,0
20230628,446.8,446.8,446.8,446.8,0
20230629,447.09,447.09,447.09,447.09,0
20230630,448.47,448.47,448.47,448.47,0
20230703,449.5,449.5,449.5,449.5,0
20230704,450.0,450.0,450.0,450.0,0
20230705,450.74,450.74,450.74,450.74,0
20230706,450.41,450.41,450.41,450.41,0
20230707,449.92,449.92,449.92,449.92,0
20230710,451.35,451.35,451.35,451.35,0
20230711,450.29,450.29,450.29,450.29,0
20230712,451.26,451.26,451.26,451.26,0
20230713,454.9,454.9,454.9,454.9,0
20230714,452.5,452.5,452.5,452.5,0
20230717,454.15,454.15,454.15,454.15,0
20230718,456.34,456.34,456.34,456.34,0
20230719,462.17,462.17,462.17,462.17,0
20230720,460.94,460.94,460.94,460.94,0
20230721,458.33,458.33,458.33,458.33,0
20230724,458.63,458.63,458.63,458.63,0
20230725,455.58,455.58,455.58,455.58,0
20230726,457.99,457.99,457.99,457.99,0
20230727,458.85,458.85,458.85,458.85,0
20230728,455.68,455.68,455.68,455.68,0
20230731,455.35,455.35,455.35,455.35,0
20230801,456.44,456.44,456.44,456.44,0
20230802,456.81,456.81,456.81,456.81,0
20230803,454.7,454.7,454.7,454.7,0
20230804,454.02,454.02,454.02,454.02,0
20230807,454.89,454.89,454.89,454.89,0
20230808,454.84,454.84,454.84,454.84,0
20230809,455.05,455.05,455.05,455.05,0
20230810,453.62,453.62,453.62,453.62,0
20230811,455.25,455.25,455.25,455.25,0
20230814,455.95,455.95,455.95,455.95,0
20230815,456.0,456.0,456.0,456.0,0
20230816,456.79,456.79,456.79,456.79,0
20230817,456.7,456.7,456.7,456.7,0
20230818,456.1,456.1,456.1,456.1,0
20230821,457.92,457.92,457.92,457.92,0
20230822,457.82,457.82,457.82,457.82,0
20230823,458.32,458.32,458.32,458.32,0
20230824,459.7,459.7,459.7,459.7,0
20230825,459.0,459.0,459.0,459.0,0
20230828,459.14,459.14,459.14,459.14,0
20230829,460.35,460.35,460.35,460.35,0
20230830,461.96,461.96,461.96,461.96,0
20230831,464.16,464.16,464.16,464.16,0
20230901,463.79,463.79,463.79,463.79,0
20230904,465.5,465.5,465.5,465.5,0
20230905,465.85,465.85,465.85,465.85,0
20230906,464.13,464.13,464.13,464.13,0
20230907,464.38,464.38,464.38,464.38,0
20230908,467.68,467.68,467.68,467.68,0
20230911,468.09,468.09,468.09,468.09,0
20230912,469.4,469.4,469.4,469.4,0
20230913,470.21,470.21,470.21,470.21,0
20230914,474.7,474.7,474.7,474.7,0
20230915,469.6,469.6,469.6,469.6,0
20230918,469.18,469.18,469.18,469.18,0
20230919,471.26,471.26,471.26,471.26,0
20230920,472.0,472.0,472.0,472.0,0
20230921,472.83,472.83,472.83,472.83,0
20230922,471.72,471.72,471.72,471.72,0
