trade_date,open,high,low,close,volume,amount,ts_code,pre_close,change,pct_chg,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d
20250414,0.893,0.893,0.879,0.882,116801.01,10339.832,,,,,116801.01,0.9249500000000002,,,177692.126,151317.2275,0.0372999999999999,0.0276499999999999,-0.0328233696581786,-0.0281410088562581,-0.0093647216038409,12.866817155756202,40.63205417607225,,-11.44578313253012
20250415,0.882,0.882,0.867,0.873,112528.07,9818.494,,,,,112528.07,0.9187,,,148201.562,145744.0295,0.0368999999999999,0.0279999999999999,-0.0318897643945512,-0.0288907599639167,-0.0059980088612689,12.98405466970387,43.73576309794991,,-12.525050100200396
20250416,0.873,0.873,0.853,0.866,120528.25,10402.846,,,,,120528.25,0.91185,,,126479.71199999998,135750.40499999997,0.0376999999999999,0.0284999999999999,-0.0313532957191218,-0.0293832671149577,-0.003940057208328,12.694877505567923,45.879732739420966,,-13.659022931206376
20250417,0.865,0.875,0.86,0.863,144736.07,12583.891,,,,,144736.07,0.9057,,,129480.304,134646.8955,0.0376,0.0282999999999999,-0.0308149992273281,-0.0296696135374318,-0.0022907713797924,13.470319634703191,43.607305936073104,,-12.474645030425968
20250418,0.862,0.877,0.858,0.873,141086.16,12216.127,,,,,141086.16,0.9000499999999999,,,127135.912,133936.623,0.0371,0.0285999999999999,-0.0292443680815942,-0.0295845644462643,0.0006803927293401,13.348416289592752,43.21266968325794,,-11.460446247464509
20250421,0.873,0.882,0.869,0.88,134221.1,11790.578,159206.SZ,0.873,0.007,0.8018,134221.1,0.8957999999999998,,,130619.93,131096.4355,0.0292,0.0280499999999999,-0.0271221429038074,-0.0290920801377729,0.003939874467931,14.6788990825688,39.67889908256883,,-8.808290155440412
20250422,0.881,0.881,0.87,0.871,133473.0,11663.366,,,,,133473.0,0.89175,,,134808.91600000003,130964.641,0.0255,0.0267999999999999,-0.0258682953382615,-0.0284473231778706,0.0051580556792183,13.33333333333335,39.77011494252875,,-8.50840336134453
20250423,0.873,0.887,0.873,0.882,150295.15,13222.478,,,,,150295.15,0.8886,,,140762.29600000003,133934.1145,0.0204,0.0266499999999999,-0.0237136478685231,-0.0275005881160011,0.007573880494956,13.103448275862078,39.77011494252874,62.55922401631917,-6.666666666666665
20250424,0.884,0.884,0.863,0.87,151526.07,13194.102,,,,,151526.07,0.8847999999999999,,,142120.296,138316.3625,0.019,0.0271999999999999,-0.0227125577099699,-0.0265429820347949,0.0076608486496499,13.19444444444445,39.58333333333333,61.0615281637846,-8.033826638477793
20250425,0.872,0.883,0.87,0.873,134861.0,11826.169,159206.SZ,0.87,0.003,0.3448,134861.0,0.8813000000000001,,,140875.264,140179.932,0.0157,0.0265499999999999,-0.0214300790078559,-0.0255204014294071,0.0081806448431023,16.1473087818697,24.645892351274775,56.38715841588544,-7.423117709437954
20250428,0.872,0.872,0.862,0.864,111894.24,9686.849,,,,,111894.24,0.8779,,,136409.892,140773.0885,0.0154,0.0263499999999999,-0.020899019295284,-0.0245961250025825,0.0073942114145969,18.037974683544313,18.670886075949376,50.144501202949755,-7.296137339055797
20250429,0.865,0.871,0.859,0.868,114859.0,9965.056,,,,,114859.0,0.8749499999999999,,,132687.092,140274.9845,0.0151,0.0259999999999999,-0.0199256930897614,-0.0236620386200183,0.0074726910605137,21.839080459770113,18.007662835249043,44.44958136868566,-6.364617044228704
20250430,0.868,0.88,0.867,0.878,122829.15,10770.027,,,,,122829.15,0.8721500000000001,,,127193.892,139514.021,0.0144,0.02605,-0.0181383213550669,-0.022557295167028,0.0088379476239221,14.644351464435148,19.665271966527197,40.662944762823805,-5.995717344753748
20250506,0.88,0.905,0.88,0.905,126119.19,11317.135,,,,,126119.19,0.8704500000000002,,,122112.51600000002,142169.779,0.0156,0.0266,-0.0143774082141517,-0.0209213177764527,0.013087819124602,21.818181818181813,21.363636363636363,36.60279438688395,-3.620873269435565
20250507,0.906,0.922,0.905,0.915,186335.24,17007.184,159206.SZ,0.905,0.01,1.105,186335.24,0.86995,,,132407.364,146332.93300000002,0.0154,0.02625,-0.0104692579389145,-0.0188309058089451,0.0167232957400612,28.699551569506728,21.076233183856505,33.989693039605385,-1.0810810810810811
20250508,0.913,0.943,0.913,0.94,170738.8,15897.439,159206.SZ,0.915,0.025,2.7322,170738.8,0.8753,,,144176.276,147224.556,0.0171,0.02315,-0.0052937070630001,-0.0161234660597561,0.021659517993512,35.71428571428568,14.705882352941185,33.09325012509017,12.845138055222094
20250509,0.94,0.944,0.925,0.933,143698.07,13429.227,,,,,143698.07,0.8813000000000001,,,149944.09,141410.415,0.0178999999999999,0.0217,-0.0017368656979618,-0.0132461459873972,0.0230185605788709,36.286919831223614,8.860759493670894,33.38565520765907,14.760147601476037
20250512,0.931,0.957,0.931,0.957,132255.08,12574.139,,,,,132255.08,0.8869,,,151829.276,136566.294,0.0188999999999999,0.01965,0.0029841566330277,-0.0100000854633122,0.02596848419268,39.11290322580646,8.46774193548388,34.214710897731706,13.254437869822478
20250513,0.966,0.966,0.938,0.939,165239.04,15647.359,159206.SZ,0.957,-0.018,-1.8809,165239.04,0.8907999999999999,,,159653.24599999998,138341.5905,0.0195999999999999,0.0193,0.0052130583837116,-0.0069574566939074,0.0243410301552383,41.24513618677044,8.171206225680946,35.22393474475082,9.059233449477343
20250514,0.937,0.948,0.936,0.939,124567.11,11718.742,,,,,124567.11,0.89355,,,147299.62,136929.54,0.0194999999999999,0.0175999999999999,0.0068999408563703,-0.0041859771838519,0.0221718360804445,39.45312500000003,8.984374999999972,36.4319107893949,6.221719457013575
20250515,0.946,0.947,0.921,0.921,118538.01,10997.195,,,,,118538.01,0.8955,,,136859.462,137016.38999999998,0.0209999999999999,0.0181999999999999,0.0067070431827397,-0.0020073731105335,0.0174288325865466,37.26937269372698,14.022140221402202,36.11335301965522,4.421768707482987
20250516,0.913,0.931,0.913,0.921,81753.0,7558.683,,,,,81753.0,0.8979000000000001,,,124470.448,135477.6365,0.0215999999999999,0.0183499999999999,0.0064794789862173,-0.0003100026911833,0.0135789633548015,34.798534798534824,16.849816849816843,34.99313805115164,5.498281786941583
20250519,0.925,0.926,0.915,0.925,109900.38,10149.656,,,,,109900.38,0.9008500000000002,,,119999.508,134946.24300000002,0.0213999999999999,0.0178999999999999,0.006546436051777,0.0010612850574086,0.0109703019887367,36.121673003802314,13.68821292775664,34.63872147536103,6.812933025404155
20250520,0.925,0.929,0.921,0.926,70475.0,6524.098,159206.SZ,0.925,0.001,0.1081,70475.0,0.904,,,101046.7,131233.1895,0.0194999999999999,0.0175499999999999,0.0066040641110984,0.0021698408681466,0.0088684464859036,37.98449612403105,13.953488372093007,36.4555302884385,7.300115874855173
20250521,0.927,0.93,0.922,0.927,80812.02,7473.788,159206.SZ,0.926,0.001,0.108,80812.02,0.9067,,,92295.682,128219.4825,0.0185999999999999,0.0169999999999999,0.0066537263899275,0.0030666179725028,0.0071742168348494,38.823529411764746,10.980392156862727,40.32562842272345,6.185567010309279
20250522,0.935,0.936,0.92,0.93,96547.07,8990.919,,,,,96547.07,0.9092,,,87897.494,126335.781,0.0171999999999999,0.0171499999999999,0.006856125880293,0.0038245195540608,0.0060632126524643,40.54054054054058,9.652509652509629,44.03441963151466,5.681818181818188
20250523,0.923,0.928,0.908,0.908,138560.26,12698.4,159206.SZ,0.93,-0.022,-2.3656,138560.26,0.91105,,,99258.946,126590.144,0.0174999999999999,0.0176999999999999,0.0051815827359322,0.0040959321904351,0.0021713010909942,35.82089552238809,13.80597014925372,46.15775933967007,4.247990815154989
